date,open,high,low,close,TR,ATR,CI,trend
2015.12.04,1.51428,1.5156,1.50775,1.51047,0.007850000000000135,0.01047857142857148,41.35093130491609,1
2015.12.07,1.51058,1.51146,1.5044,1.50547,0.007060000000000066,0.01038071428571433,41.42520518137763,1
2015.12.08,1.50546,1.50605,1.49563,1.50063,0.010420000000000096,0.01069142857142862,41.62630856060986,1
2015.12.09,1.50064,1.51912,1.50035,1.51805,0.018769999999999953,0.011252857142857191,44.38796115425917,1
2015.12.10,1.51773,1.52015,1.51106,1.51593,0.00908999999999982,0.010992142857142895,56.101307588650315,1
2015.12.11,1.51594,1.52397,1.51248,1.52185,0.01149,0.01119714285714289,52.029706244794966,1
2015.12.14,1.52297,1.52302,1.51074,1.51396,0.012280000000000069,0.011345714285714324,52.39948278396542,1
2015.12.15,1.51398,1.51839,1.50289,1.50375,0.015499999999999847,0.011880714285714309,53.136669410640685,1
2015.12.16,1.50373,1.50978,1.49578,1.50006,0.01399999999999979,0.012418571428571421,54.24085432000343,1
2015.12.17,1.50005,1.50112,1.48647,1.48972,0.014650000000000052,0.012881428571428568,52.34776726827581,1
2015.12.18,1.48949,1.49494,1.48847,1.48859,0.006469999999999976,0.012810714285714278,53.45746869711151,1
2015.12.21,1.48983,1.49287,1.48768,1.48797,0.005190000000000028,0.012647142857142857,54.549967105663875,1
2015.12.22,1.48798,1.49072,1.48051,1.48262,0.010210000000000052,0.012035000000000002,49.68622119986568,1
2015.12.23,1.48263,1.49,1.48174,1.4869,0.008259999999999934,0.01080285714285713,49.81372393060008,1
2015.12.24,1.48688,1.49447,1.48582,1.49007,0.008650000000000047,0.01085999999999998,49.902938187810356,1
2015.12.28,1.49104,1.49333,1.48737,1.48798,0.005959999999999965,0.010781428571428544,49.99643758095673,1
2015.12.29,1.48772,1.49129,1.47853,1.48117,0.012760000000000105,0.010948571428571403,48.368144927449414,1
2015.12.30,1.48118,1.4848,1.47925,1.48087,0.005549999999999944,0.010004285714285688,48.076512680867644,1
2015.12.31,1.48088,1.4844,1.47259,1.4734,0.011809999999999876,0.010198571428571406,43.234675680921036,1
