date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-24 00:00:00,GBPUSD,14.95,-22.99,-1.54,00:00:00,2020-01-24
2020-01-24 00:00:00,USDJPY,13,203.46,15.65,00:00:00,2020-01-24
2020-01-24 00:00:00,XAUUSD,28.19,2633.94,93.44,00:00:00,2020-01-24
2020-01-24 04:00:00,EURUSD,17.37,-386.42,-22.25,04:00:00,2020-01-24
2020-01-24 04:00:00,GBPUSD,9.45,-279.2,-29.54,04:00:00,2020-01-24
2020-01-24 04:00:00,USDJPY,14.52,410.64,28.28,04:00:00,2020-01-24
2020-01-24 04:00:00,XAUUSD,53.73,7010.88,130.48,04:00:00,2020-01-24
2020-01-24 08:00:00,EURUSD,505.86,-2916.47,-5.77,08:00:00,2020-01-24
2020-01-24 08:00:00,GBPUSD,124.9,1927.04,15.43,08:00:00,2020-01-24
2020-01-24 08:00:00,USDJPY,29.02,-275.24,-9.48,08:00:00,2020-01-24
2020-01-24 08:00:00,XAUUSD,89.85,1696.14,18.88,08:00:00,2020-01-24
2020-01-24 12:00:00,EURUSD,202.28,-6073.61,-30.03,12:00:00,2020-01-24
2020-01-24 12:00:00,GBPUSD,65.35,946.87,14.49,12:00:00,2020-01-24
2020-01-24 12:00:00,USDJPY,3.54,65.73,18.57,12:00:00,2020-01-24
2020-01-24 12:00:00,XAUUSD,63.13,1599.06,25.33,12:00:00,2020-01-24
2020-01-24 16:00:00,EURUSD,239.08,-13132.38,-54.93,16:00:00,2020-01-24
2020-01-24 16:00:00,GBPUSD,74.43,4666.64,62.7,16:00:00,2020-01-24
2020-01-24 16:00:00,USDJPY,16.53,182.34,11.03,16:00:00,2020-01-24
2020-01-24 16:00:00,XAUUSD,120.91,8313.01,68.75,16:00:00,2020-01-24
2020-01-24 20:00:00,EURUSD,15.74,-122.35,-7.77,20:00:00,2020-01-24
2020-01-24 20:00:00,GBPUSD,5.33,39.42,7.4,20:00:00,2020-01-24
2020-01-24 20:00:00,USDJPY,11.68,-304.09,-26.04,20:00:00,2020-01-24
2020-01-24 20:00:00,XAUUSD,78.33,4371.67,55.81,20:00:00,2020-01-24
2020-01-27 00:00:00,EURUSD,73.87,-810.47,-10.97,00:00:00,2020-01-27
2020-01-27 00:00:00,GBPUSD,11.04,455.39,41.25,00:00:00,2020-01-27
2020-01-27 00:00:00,USDJPY,38.24,2427.35,63.48,00:00:00,2020-01-27
2020-01-27 00:00:00,XAUUSD,67.88,7300.52,107.55,00:00:00,2020-01-27
2020-01-27 04:00:00,EURUSD,67.17,-4220.2,-62.83,04:00:00,2020-01-27
2020-01-27 04:00:00,GBPUSD,32.31,761.99,23.58,04:00:00,2020-01-27
2020-01-27 04:00:00,USDJPY,17.61,-94.1,-5.34,04:00:00,2020-01-27
2020-01-27 04:00:00,XAUUSD,32.33,101.37,3.14,04:00:00,2020-01-27
2020-01-27 08:00:00,EURUSD,188.23,-118.61,-0.63,08:00:00,2020-01-27
2020-01-27 08:00:00,GBPUSD,185.01,-1964.43,-10.62,08:00:00,2020-01-27
2020-01-27 08:00:00,USDJPY,32.75,109.39,3.34,08:00:00,2020-01-27
2020-01-27 08:00:00,XAUUSD,111.29,1701.73,15.29,08:00:00,2020-01-27
