day,symbol_name,profit,volume,PnL/Lot,Coef,
1/28/2021,EURUSD,207817.24,12020.75,17.2882089,0.001000008,
1/29/2021,EURUSD,128701.58,10286.38,12.51184378,-0.001062927,
2/1/2021,EURUSD,105161.19,12311.39,8.541780135,0.002511206,
2/2/2021,EURUSD,34399.51,16909.97,2.034274123,0.003745287,
2/3/2021,EURUSD,58748.41,13260.94,4.430184688,0.001448145,
2/4/2021,EURUSD,-825983.86,13604.21,-60.71531258,0.002796604,
2/5/2021,EURUSD,-211443.33,12793.64,-16.52722248,-0.000366703,
2/8/2021,EURUSD,-88250.40,11472.43,-7.692389911,-0.003213726,
2/9/2021,EURUSD,-299442.27,12807.7,-23.37986314,-0.0033799,
2/10/2021,EURUSD,-178361.72,11739.94,-15.19272834,-0.003186433,
2/11/2021,EURUSD,1955.38,9902.97,0.197454129,-0.000466134,
2/12/2021,EURUSD,83519.99,11873.92,7.033902386,0.000892664,
2/15/2021,EURUSD,23852.89,8399.46,2.839812054,-0.000990442,
2/16/2021,EURUSD,-16078.36,16123.55,-0.997197347,0.000311268,
2/17/2021,EURUSD,-286618.58,11818.69,-24.25129815,0.0047,
2/18/2021,EURUSD,-66827.55,10185.04,-6.561344122,0.000287974,
2/19/2021,EURUSD,-45667.37,10363.38,-4.406609554,-0.003715723,
2/22/2021,EURUSD,-95843.07,10666.46,-8.985461585,-0.00185821,
2/23/2021,EURUSD,-71760.01,9092.55,-7.892176479,-0.001900102,
2/24/2021,EURUSD,-81725.77,11459.34,-7.131803965,0.000485438,
2/25/2021,EURUSD,-126408.87,13605.41,-9.291073774,-0.002938737,
2/26/2021,EURUSD,-96366.17,11867.64,-8.120078792,0.005031281,
3/1/2021,EURUSD,-56811.95,10360.81,-5.483350222,0.005100031,
3/2/2021,EURUSD,-268580.69,10927.38,-24.57869031,0.000429,
3/3/2021,EURUSD,-8242.99,10241.46,-0.804864302,-0.001679735,
3/4/2021,EURUSD,-78343.60,11867.84,-6.601336162,0.005173602,
3/5/2021,EURUSD,-747672.42,12471.01,-59.95283606,0.006338834,
3/8/2021,EURUSD,-488450.36,11969.87,-40.80665538,0.004448317,
3/9/2021,EURUSD,-79694.46,10793.56,-7.38351897,0.000891956,
3/10/2021,EURUSD,15326.67,11048.44,1.387224958,-0.002610878,
3/11/2021,EURUSD,52494.16,13430.14,3.908682686,-0.004128726,
3/12/2021,EURUSD,-85847.06,10472.44,-8.197427246,-0.00030744,
3/15/2021,EURUSD,649.34,11566.17,0.056141671,0.000719816,
3/16/2021,EURUSD,-25016.71,11210.61,-2.231521073,0.001985108,
3/17/2021,EURUSD,121787.88,11804.35,10.31720337,-0.001911424,
3/18/2021,EURUSD,94940.35,13243.98,7.168566454,-0.000749708,
3/19/2021,EURUSD,-118942.61,11192.24,-10.62723946,0.003459049,
3/22/2021,EURUSD,65043.60,11652.79,5.581804595,-0.002546843,
3/23/2021,EURUSD,-502183.98,14446.34,-34.76202108,0.001362564,
3/24/2021,EURUSD,-694104.34,14806.16,-46.87942961,0.005091883,
3/25/2021,EURUSD,-669433.49,16099.51,-41.58098554,0.003273201,
3/26/2021,EURUSD,-4909.90,11845.08,-0.414509885,0.000797137,
3/29/2021,EURUSD,101516.51,15423.66,6.581868965,0.000534678,
3/30/2021,EURUSD,-634983.16,12880.59,-49.29767657,0.00307,
3/31/2021,EURUSD,-254788.72,12667.25,-20.11397229,0.001194598,
4/1/2021,EURUSD,-6157.46,11818.21,-0.521014367,-0.001882516,
4/2/2021,EURUSD,-25743.66,6404.66,-4.019520406,-0.001498076,
4/5/2021,EURUSD,-240214.35,10073.49,-23.84618906,-0.001321605,
4/6/2021,EURUSD,-391644.59,12178.07,-32.15982433,-0.004838073,
4/7/2021,EURUSD,-359509.86,14895.21,-24.13593789,-0.003368233,
4/8/2021,EURUSD,-130596.93,10814.91,-12.07563687,-0.001014444,
4/9/2021,EURUSD,-11047.16,9257.2,-1.19335832,-0.000819984,
4/12/2021,EURUSD,33649.46,10456.92,3.217913177,0.000326,
4/13/2021,EURUSD,-83015.48,16118.94,-5.150182377,-0.002164529,
4/14/2021,EURUSD,-290721.36,16267.93,-17.87082665,-0.003548033,
4/15/2021,EURUSD,-17023.69,13968.44,-1.218725045,-0.00067074,
4/16/2021,EURUSD,30127.69,12228.33,2.463761935,2.09E-06,
4/19/2021,EURUSD,-636265.14,17338.22,-36.69725855,-0.002213424,
4/20/2021,EURUSD,-407504.68,13393.27,-30.42607786,-0.003602414,
4/21/2021,EURUSD,-62434.50,10819.55,-5.770526532,0.001243551,
4/22/2021,EURUSD,69978.66,13464.06,5.197441102,0.000108089,
4/23/2021,EURUSD,-249006.82,14400.65,-17.29135987,-0.002417709,
4/26/2021,EURUSD,-140723.19,13106.94,-10.73654008,-0.002776873,
4/27/2021,EURUSD,60699.02,11780.24,5.152613561,0.000719698,
4/28/2021,EURUSD,-125585.16,16617.91,-7.557217213,-0.001728106,
4/29/2021,EURUSD,-56317.64,13564.34,-4.151889739,-0.001830492,
4/30/2021,EURUSD,-341747.02,14494.91,-23.57703668,0.00452456,
5/3/2021,EURUSD,-42076.90,12720.16,-3.307890837,0.00196182,
5/4/2021,EURUSD,60436.14,15073.51,4.009427131,0.000871789,
5/5/2021,EURUSD,14041.35,13100.86,1.071788566,0.002347574,
5/6/2021,EURUSD,-235089.54,14656.55,-16.03989645,-0.002205248,
5/7/2021,EURUSD,-619386.96,19133.92,-32.37114829,-0.006615733,
5/10/2021,EURUSD,-91424.86,18219.99,-5.017832669,-0.003057006,
5/11/2021,EURUSD,44043.25,17624.65,2.498957556,0.000339547,
5/12/2021,EURUSD,-57315.68,19262.79,-2.975461195,0.00304,
5/13/2021,EURUSD,76183.43,16497.44,4.617894296,0.002671898,
5/14/2021,EURUSD,-72091.52,15821.99,-4.556412733,-0.0027598,
5/17/2021,EURUSD,-73724.87,14481.51,-5.090965342,-0.003181656,
5/18/2021,EURUSD,-730229.03,14608.68,-49.9859692,-0.003387668,
5/19/2021,EURUSD,-125638.69,14855.98,-8.457112229,-0.000918925,
5/20/2021,EURUSD,-47973.43,10264.7,-4.673632152,0.000106563,
5/21/2021,EURUSD,61600.16,12546.52,4.909740458,-0.000219297,
5/24/2021,EURUSD,98754.98,10169.69,9.710717042,0.000258181,
5/25/2021,EURUSD,-341828.52,14717.48,-23.22602245,-0.00295,
5/26/2021,EURUSD,-96028.68,12956.58,-7.411576005,0.001025867,
5/27/2021,EURUSD,83619.56,12597.71,6.637679066,0.002350462,
5/28/2021,EURUSD,-288042.52,14716.41,-19.57287971,0.001064198,
